"product","div","category","brand","cpg","bfpp","ppa","spf","spfv"
"67313580","F","SA","HL","F00663","17S","54T","14WE","14WE"
"67313581","F","SA","HL","F00663","17S","54T","14WE","14WE"
"67313585","F","SA","HL","F00663","17S","54T","14WE","14WE"
"67313589","F","SA","HL","F00663","17S","54T","14WE","14WE"
"84172469","F","MA","HL","F00478","2AP","50Y","14W0","14W0"
"67174001","F","SE","AS","F00054","1ZG","82G","14J3","14J3"
"15285","F","CS","MZ","F01205","1UB","6S5","14XE","14XE"
"15287","F","CS","MZ","F01205","1UB","51P","14XF","14XF"
"15289","F","CS","MZ","F01205","1UB","6UJ","14XD","14XD"
"13997","F","OD","KA","F01669","1SC","51R","14WG","14WG"
"13998","F","MA","HL","F00478","2AP","50Y","14W0","14W0"
"14614","F","CS","MZ","F01205","1ZP","49P","14OU","14OU"
"15284","F","CS","MZ","F01205","20U","51O","14RL","14RL"
"15291","F","CS","MZ","F01205","20U","51O","14RL","14RL"
"15292","F","CS","MZ","F01205","20U","7A0","14RM","14RM"
"15575","F","SE","AS","F00054","1ZG","515","14J4","14J4"
"168051","F","SA","HL","F00663","17S","507","14WC","14WC"
"168055","F","SA","HL","F00663","17S","507","14WC","14WC"
"168060","F","SA","HL","F00663","17S","507","14WC","14WC"
"188285","F","MA","AS","F00455","2AK","50U","14IB","14IB"
"188289","F","MA","AS","F00455","2AH","50T","14I4","14I4"
"188371","F","MA","AS","F00455","2AL","4KL","14I6","14I6"
"204691","F","CS","MZ","F01205","20U","51O","14RL","14RL"
"26981","F","OD","AS","F01560","21L","51Q","14TE","14TE"
"53525","F","SE","KO","F00131","22V","52C","14JU","14JU"
"545915","F","BO","AS","F00029","2AX","51T","15IK","15IK"
"547244","F","ME","KO","F04157","2G3","518","1632","1632"
"549177","F","BO","AS","F00029","2AX","51T","15IK","15IK"
"550187","F","MA","HL","F00478","2AQ","50F","15HT","15HT"
"550209","F","MA","AS","F00455","2AI","50A","15HW","15HW"
"551218","F","KE","HL","F00519","17K","52O","15VE","15VE"
"551223","F","MA","HL","F00478","2A8","52P","15I8","15I8"
"551224","F","MU","HL","F00552","17O","52Q","15I3","15I3"
"557419","F","SS","AS","F00277","1ZM","510","19HC","19HC"
"6133","F","KE","AS","F00506","1ZD","503","14TH","14TH"
"67144422","F","SE","KO","F00065","1TN","517","13I0","13I0"
"67144423","F","SE","KO","F00065","22S","517","14JO","14JO"
"67151180","F","SE","KO","F00065","391","6UD","1BHT","1GHO"
"67151181","F","SE","KO","F00065","38Z","6UD","1BHR","1GHM"
"67151182","F","SE","KO","F00065","390","6UD","1BHS","1GHN"
"67151666","F","KE","HL","F00519","17K","AE0","14VJ","14VJ"
"67159911","F","BO","KO","F00037","2B3","51V","14WJ","14WJ"
"67159914","F","BO","KO","F00037","2B3","51V","14WJ","14WJ"
"67159945","F","BO","KO","F00037","2B8","51X","14WM","14WM"
"67159947","F","BO","KO","F00037","33A","6GE","1AWP","1AWP"
"67159966","F","BO","KO","F00037","33A","6GE","1AWP","1AWP"
"67160265","F","BO","KO","F00037","2B8","51X","14WM","14WM"
"67164332","F","SE","AS","F00054","1ZG","515","14J4","14J4"
"67164334","F","SE","AS","F00054","1ZG","515","14J4","14J4"
"67165166","F","BO","KO","F00037","2B6","51W","15II","15II"
"67165167","F","BO","KO","F00037","2U7","5HA","19H8","19H8"
"67165168","F","BO","KO","F00037","2B6","51W","15II","15II"
